cm^-1,Intensity
2125.0,0.8585
2130.0,0.8601
2135.0,0.8606
2140.0,0.8607
2145.0,0.8601
2150.0,0.8589
2155.0,0.8582
2160.0,0.8578
2165.0,0.8572
2170.0,0.8565
2175.0,0.8561
2180.0,0.8558
2185.0,0.8559
2190.0,0.8565
2195.0,0.8567
2200.0,0.8565
2205.0,0.856
2210.0,0.8554
2215.0,0.8546
2220.0,0.8536
2225.0,0.852
2230.0,0.8506
2235.0,0.8497
2240.0,0.8494
2245.0,0.8498
2250.0,0.8505
2255.0,0.8512
2260.0,0.8517
2265.0,0.8519
2270.0,0.8525
2275.0,0.8535
2280.0,0.8561
2285.0,0.8611
2290.0,0.8626
2295.0,0.8621
2300.0,0.8616
2305.0,0.8609
2310.0,0.8602
2315.0,0.8579
2320.0,0.8553
2325.0,0.8499
2330.0,0.8432
2335.0,0.8376
2340.0,0.8345
2345.0,0.8343
2350.0,0.836
2355.0,0.8401
2360.0,0.8444
2365.0,0.8491
2370.0,0.8539
2375.0,0.8576
2380.0,0.8595
2385.0,0.8594
2390.0,0.859
2395.0,0.8573
2400.0,0.855
2405.0,0.8526
2410.0,0.8502
2415.0,0.848
2420.0,0.8463
2425.0,0.8446
2430.0,0.8447
2435.0,0.8468
2440.0,0.8502
2445.0,0.8536
2450.0,0.857
2455.0,0.8604
2460.0,0.8643
2465.0,0.8683
2470.0,0.8715
2475.0,0.8731
2480.0,0.8747
2485.0,0.8748
2490.0,0.875
2495.0,0.8744
2500.0,0.8738
2505.0,0.8731
2510.0,0.872
2515.0,0.8708
2520.0,0.8697
2525.0,0.8682
2530.0,0.8666
2535.0,0.8649
2540.0,0.8634
2545.0,0.8618
2550.0,0.8606
2555.0,0.8593
2560.0,0.8581
2565.0,0.8571
2570.0,0.8561
2575.0,0.8551
2580.0,0.8541
2585.0,0.8535
2590.0,0.853
2595.0,0.8526
2600.0,0.8526
2605.0,0.8525
2610.0,0.8537
2615.0,0.8568
2620.0,0.8604
2625.0,0.862
2630.0,0.8617
2635.0,0.8604
2640.0,0.859
2645.0,0.8574
2650.0,0.8558
2655.0,0.8543
2660.0,0.853
2665.0,0.8536
2670.0,0.8547
2675.0,0.8577
2680.0,0.8612
2685.0,0.8645
2690.0,0.8671
2695.0,0.8695
2700.0,0.8692
2705.0,0.8681
2710.0,0.8667
2715.0,0.8648
2720.0,0.8624
2725.0,0.8596
2730.0,0.8592
2735.0,0.859
2740.0,0.8588
2745.0,0.8586
2750.0,0.8603
2755.0,0.8633
2760.0,0.8666
2765.0,0.8705
2770.0,0.8729
2775.0,0.8742
2780.0,0.8743
2785.0,0.8743
2790.0,0.8741
2795.0,0.8736
2800.0,0.8732
2805.0,0.8727
2810.0,0.8722
2815.0,0.8715
2820.0,0.8704
2825.0,0.8686
2830.0,0.8663
2835.0,0.864
2840.0,0.8617
2845.0,0.8589
2850.0,0.8539
2855.0,0.8499
2860.0,0.8462
2865.0,0.8462
2870.0,0.8467
2875.0,0.8475
2880.0,0.8484
2885.0,0.8495
2890.0,0.8503
2895.0,0.8501
2900.0,0.8493
2905.0,0.8476
2910.0,0.8442
2915.0,0.8398
2920.0,0.8336
2925.0,0.8242
2930.0,0.8206
2935.0,0.8212
2940.0,0.8225
2945.0,0.8237
2950.0,0.8242
2955.0,0.8242
2960.0,0.8237
2965.0,0.8244
2970.0,0.8307
2975.0,0.8376
2980.0,0.8405
2985.0,0.8427
2990.0,0.8442
2995.0,0.845
3000.0,0.8459
3005.0,0.8462
3010.0,0.8463
3015.0,0.8465
3020.0,0.8474
3025.0,0.8484
3030.0,0.85
3035.0,0.8546
3040.0,0.8601
3045.0,0.8621
3050.0,0.8638
3055.0,0.8649
3060.0,0.8655
3065.0,0.8653
3070.0,0.8647
3075.0,0.8624
3080.0,0.8597
3085.0,0.8561
3090.0,0.8502
3095.0,0.8425
3100.0,0.8314
3105.0,0.8188
3110.0,0.7969
3115.0,0.7757
3120.0,0.7716
3125.0,0.7677
3130.0,0.7531
3135.0,0.7392
3140.0,0.7363
